iteration,train_error,test_error
0,0.5851781259756536,0.6200948291793466
1,0.5122694498393685,0.5811174865365029
2,0.43579380327137185,0.5415310795642435
3,0.3649658928567078,0.4895053888373077
4,0.2838130511700001,0.4348300574570894
5,0.2095818764231808,0.3753896735943854
6,0.1464787603203149,0.3154241968449205
7,0.0961569271319604,0.25886218110006304
8,0.06179526034866285,0.20858824496902525
9,0.04002451357646351,0.16781537585891784
10,0.026342522273444045,0.1388186735091731
11,0.018383792466920568,0.11573959133820608
12,0.012611701681453268,0.09932462389674038
13,0.008920773446698149,0.08203723870031536
14,0.0059705587138523695,0.06847955037746578
15,0.004146046094501798,0.05582429433241486
16,0.002706003194271034,0.04752517554094084
17,0.0018663925915006984,0.041125311920419336
18,0.0013739414602696343,0.03641170761361718
19,0.0010915719534864365,0.03283011636137962
20,0.0009141565804839047,0.03110292075702455
21,0.0007990783549757907,0.029695661759003997
22,0.0007343832798142102,0.028627963254228235
23,0.0006807333720644237,0.027880623417906463
24,0.0006434844513933058,0.027270472603850068
25,0.0006106340226324392,0.026425048528239133
26,0.0006109331934567308,0.025899939492344856
27,0.0005807834426377667,0.025223992081359028
28,0.0005384500738728093,0.024718784488737582
29,0.000507626882972545,0.02380535722896457
30,0.0004929724025714676,0.023392483422532678
31,0.0004629467108316021,0.02255276983976364
32,0.00042562827493384245,0.02212881376594305
33,0.0004085774250597751,0.02144119126163423
34,0.00039067232501110993,0.020676414059475064
35,0.0003557325293513713,0.020039046039804817
36,0.0003412627775105648,0.019457269262522458
37,0.00031757768792886056,0.01882245129533112
38,0.00029548876391345403,0.018343251672573387
39,0.00028199641992614487,0.017616062784567475
40,0.00025848961049632633,0.017027986054308712
41,0.00024456381925119786,0.01648270876891911
42,0.0002241457041236572,0.015871893536299468
43,0.0002152050254153437,0.015145733507350087
44,0.0002006578744840226,0.014676900748163461
45,0.00018140005304303485,0.014157105939462782
46,0.00016376697158193565,0.013618930736556649
47,0.00015785095347382595,0.013059430660679936
48,0.0001382490512696677,0.01249482331238687
49,0.00013765216879164656,0.011949953010305762
50,0.00011904123302883818,0.01162784319743514
51,0.00011155153383697325,0.011076591185759753
52,9.966810780497326e-05,0.010432762544602155
53,9.403349577041809e-05,0.009870071667246521
54,8.339274668287545e-05,0.009450440794229508
55,7.419245666824281e-05,0.009090826589148492
56,6.592090680896945e-05,0.008650900253094732
57,6.003102830618445e-05,0.008146101850550622
58,5.571274791691394e-05,0.007673473535105586
59,4.9893906839315606e-05,0.007374374901875854
60,4.794379597115039e-05,0.007000550825148821
61,3.964485640608473e-05,0.006600910351378843
62,3.6673326644631746e-05,0.006370047439821064
63,3.304524986447177e-05,0.005805145727936179
64,2.8528118855319916e-05,0.005481273726094514
65,2.4751411370971254e-05,0.005161935746204108
66,2.315754290229677e-05,0.004812126490753144
67,2.048724529259971e-05,0.004525070202536881
68,1.766547121349049e-05,0.0042726491778157655
69,1.5909593417973156e-05,0.004028088133549317
70,1.3119784509285636e-05,0.00371436729747802
71,1.1240545158841542e-05,0.0035102551181335003
72,1.0216084739056441e-05,0.003257832610048354
73,8.80225605897067e-06,0.0029822120363824068
74,7.398573387717988e-06,0.002795392313506454
75,6.248019943910777e-06,0.0025929180879611523
76,5.8161812049206675e-06,0.002416784924454987
77,5.006536230212077e-06,0.0022879586611525156
78,4.0922448441449434e-06,0.0020297326135914773
79,3.6109648647197902e-06,0.0018847824750700965
80,2.99928072351463e-06,0.0017480086063151247
81,2.6380231133771303e-06,0.001601331866113469
82,2.1876542810161935e-06,0.0014930313466466033
83,1.8148026141417973e-06,0.0013662087904231157
84,1.616953680105837e-06,0.0012227222745714243
85,1.2901161756673218e-06,0.0011745595266693272
86,1.1169485697237746e-06,0.0010077024318452458
87,8.45097829937913e-07,0.0009462791231926531
88,7.993458234878404e-07,0.0008671086399699562
89,6.206604595604404e-07,0.0007667216490663122
90,4.867944103925659e-07,0.00075185297124699
91,4.194146363989404e-07,0.0006340425472590141
92,3.418695878831812e-07,0.0005561633990437258
93,3.16515440701437e-07,0.0005409020124352537
94,2.1150155888882692e-07,0.0004932179867100786
95,1.855996719868358e-07,0.00042960709758335723
96,1.5117233952421928e-07,0.00038795196864157335
97,1.3920533122879775e-07,0.0003341641256120056
98,9.569699328526582e-08,0.0002971875633957097
99,8.210160236110653e-08,0.0002809491702428204
100,6.615871834814158e-08,0.00022882936534006148
101,5.340093732764117e-08,0.00022060649429749902
102,4.365108444703836e-08,0.00019692463983119523
103,3.285849874412605e-08,0.000181451328950061
104,2.6107279030296304e-08,0.00014251779176811395
105,1.7176052616307834e-08,0.00012607679374104918
106,1.3641733892510998e-08,0.00010814423660849571
107,1.1130128180908416e-08,9.128194517870724e-05
108,8.123805891879776e-09,8.084315254018293e-05
109,6.061528230044688e-09,7.579150273068081e-05
110,5.8482849098207005e-09,5.9128937437890274e-05
111,3.2790927896597656e-09,5.2477949965577866e-05
112,2.8107106433972184e-09,4.528464782924857e-05
113,2.1981305860577226e-09,4.104381275874403e-05
114,1.5490959015540539e-09,3.184707856098612e-05
115,9.625649596833873e-10,3.521666564506631e-05
116,7.549232837814058e-10,2.3323571854234613e-05
117,5.310744906339426e-10,2.3036691327661175e-05
118,4.3545461177879606e-10,1.74389692097634e-05
119,2.6563244884952877e-10,1.5084061341553934e-05
120,1.9698875256685122e-10,1.3002000770825361e-05
121,1.3958731358287845e-10,1.0073560231319335e-05
122,9.034230611867922e-11,9.254133714364344e-06
123,7.042984333759106e-11,7.143934264036034e-06
124,4.650046383104095e-11,5.959290226414282e-06
125,2.5819311402427993e-11,4.509069943907207e-06
126,1.7651183379513434e-11,4.140927568627717e-06
127,1.3648120096099517e-11,3.308492554225495e-06
128,1.0847334554024702e-11,2.836100437747291e-06
129,7.897080363770959e-12,2.2354968532312116e-06
130,3.806270354239291e-12,1.7547702696063538e-06
131,3.2387626597556867e-12,1.5871770198145897e-06
132,1.8050140565160564e-12,1.0878797190159162e-06
133,1.1466133218677316e-12,9.989190951458227e-07
134,9.050534112301292e-13,7.813812162211776e-07
135,7.849907493302712e-13,6.245237593027752e-07
136,3.1337858350644457e-13,4.1302367055351396e-07
137,1.5399450666058648e-13,3.403617709238915e-07
138,8.331284084519457e-14,2.4075834310544053e-07
139,5.533853286227757e-14,1.9474502001592952e-07
140,3.721726448752865e-14,1.6831230826053202e-07
141,2.8581939773124084e-14,1.5335772443769712e-07
142,2.162453447237438e-14,1.3970307526145477e-07
143,1.6160983582456674e-14,1.2717659290917282e-07
144,1.4486499734435876e-14,1.2044819524792415e-07
145,1.4075761938664183e-14,1.1476293773515778e-07
146,1.4436847340694187e-14,1.1110414437265347e-07
147,1.1055681550635205e-14,1.0905348290224382e-07
148,9.76501340319057e-15,1.0400824718681534e-07
149,1.107824379784463e-14,1.3030304664152225e-07
150,1.3289490391661402e-14,9.291928743637712e-08
151,7.83743882103562e-15,8.697814240710145e-08
152,1.0355473972084324e-14,8.37749146325173e-08
153,7.499990381618517e-15,8.086485805258725e-08
154,6.651878653202593e-15,7.826884753114882e-08
155,7.852486191937004e-15,8.519629518488615e-08
156,8.033837978823223e-15,8.621920600315747e-08
