iteration,layer,row_col,value
0,0,0_0,-0.16441016
0,0,0_1,0.11153619
0,0,0_2,-0.11419854
0,0,0_3,-0.024196193
0,0,0_4,-0.016179033
0,0,0_5,-0.19372858
0,0,0_6,0.0438473
0,0,0_7,0.21534626
0,0,0_8,0.02796316
0,0,0_9,-0.07775437
0,0,0_10,-0.057146616
0,0,0_11,0.054214023
0,0,0_12,-0.11405385
0,0,0_13,-0.027963232
0,0,0_14,0.1676562
0,0,1_0,-0.115699165
0,0,1_1,-0.16078551
0,0,1_2,0.16941409
0,0,1_3,0.021946952
0,0,1_4,-0.09271877
0,0,1_5,0.10747314
0,0,1_6,-0.06306434
0,0,1_7,0.07847299
0,0,1_8,0.26039243
0,0,1_9,-0.16145948
0,0,1_10,0.13332553
0,0,1_11,0.10993066
0,0,1_12,-0.049341593
0,0,1_13,0.18873699
0,0,1_14,-0.11547913
0,0,2_0,0.029936135
0,0,2_1,0.049100295
0,0,2_2,0.012830952
0,0,2_3,-0.2135493
0,0,2_4,0.17068331
0,0,2_5,0.11881914
0,0,2_6,0.02000921
0,0,2_7,0.021826914
0,0,2_8,-0.22151063
0,0,2_9,0.025746414
0,0,2_10,0.18544872
0,0,2_11,0.09666665
0,0,2_12,-0.15710777
0,0,2_13,-0.04709158
0,0,2_14,-0.0348417
0,0,3_0,-0.042067584
0,0,3_1,0.037730515
0,0,3_2,0.071427755
0,0,3_3,0.029475475
0,0,3_4,0.018206164
0,0,3_5,-0.071623474
0,0,3_6,-0.04107426
0,0,3_7,-0.055473004
0,0,3_8,-0.111017324
0,0,3_9,0.00010664278
0,0,3_10,0.10098513
0,0,3_11,-0.062001366
0,0,3_12,0.040777586
0,0,3_13,-0.10234526
0,0,3_14,0.019125324
0,1,0_0,-0.061309125
0,1,0_1,-0.045234386
0,1,1_0,0.32242155
0,1,1_1,0.13577633
0,1,2_0,0.022581823
0,1,2_1,0.08636971
0,1,3_0,0.040681425
0,1,3_1,-0.052744076
0,1,4_0,-0.09862555
0,1,4_1,-0.106228784
0,1,5_0,-0.10804277
0,1,5_1,-0.03800786
0,1,6_0,0.02684505
0,1,6_1,-0.0011156481
0,1,7_0,0.0715485
0,1,7_1,-0.077356294
0,1,8_0,0.087081864
0,1,8_1,0.074307
0,1,9_0,-0.040428054
0,1,9_1,-0.008481289
0,1,10_0,-0.052818295
0,1,10_1,-0.11840772
0,1,11_0,0.011084381
0,1,11_1,0.017491108
0,1,12_0,0.08444621
0,1,12_1,0.07122484
0,1,13_0,0.072980866
0,1,13_1,0.07519376
0,1,14_0,-0.23641428
0,1,14_1,-0.03596879
1,0,0_0,-0.18200947
1,0,0_1,0.12900285
1,0,0_2,-0.10785355
1,0,0_3,-0.01522543
1,0,0_4,-0.029470576
1,0,0_5,-0.21329048
1,0,0_6,0.059710722
1,0,0_7,0.2274669
1,0,0_8,0.04304707
1,0,0_9,-0.10095258
1,0,0_10,-0.0648185
1,0,0_11,0.068094455
1,0,0_12,-0.10189477
1,0,0_13,-0.014902165
1,0,0_14,0.14668262
1,0,1_0,-0.1445479
1,0,1_1,-0.14322405
1,0,1_2,0.2004357
1,0,1_3,-0.003768431
1,0,1_4,-0.12020377
1,0,1_5,0.09326739
1,0,1_6,-0.073414735
1,0,1_7,0.054471113
1,0,1_8,0.28846946
1,0,1_9,-0.18455793
1,0,1_10,0.11025534
1,0,1_11,0.15175277
1,0,1_12,-0.029227449
1,0,1_13,0.21735929
1,0,1_14,-0.126712
1,0,2_0,0.020769821
1,0,2_1,0.055141658
1,0,2_2,0.02246832
1,0,2_3,-0.2206644
1,0,2_4,0.16198893
1,0,2_5,0.114100784
1,0,2_6,0.016494734
1,0,2_7,0.014789383
1,0,2_8,-0.21247187
1,0,2_9,0.015598271
1,0,2_10,0.17835407
1,0,2_11,0.1090564
1,0,2_12,-0.15057814
1,0,2_13,-0.03781348
1,0,2_14,-0.040039323
1,0,3_0,-0.038625717
1,0,3_1,0.033013847
1,0,3_2,0.07298174
1,0,3_3,0.024569754
1,0,3_4,0.019782305
1,0,3_5,-0.06610508
1,0,3_6,-0.04613658
1,0,3_7,-0.061054047
1,0,3_8,-0.11351375
1,0,3_9,0.007414522
1,0,3_10,0.10050567
1,0,3_11,-0.06184259
1,0,3_12,0.03890577
1,0,3_13,-0.10396579
1,0,3_14,0.02594998
1,1,0_0,-0.078259386
1,1,0_1,-0.06672486
1,1,1_0,0.32199743
1,1,1_1,0.115087904
1,1,2_0,0.01699767
1,1,2_1,0.11533721
1,1,3_0,0.02567668
1,1,3_1,-0.047495425
1,1,4_0,-0.10905263
1,1,4_1,-0.13102013
1,1,5_0,-0.13092367
1,1,5_1,-0.021240845
1,1,6_0,0.032637242
1,1,6_1,-0.02433685
1,1,7_0,0.090151675
1,1,7_1,-0.06346937
1,1,8_0,0.09193718
1,1,8_1,0.1015768
1,1,9_0,-0.038890906
1,1,9_1,-0.034171432
1,1,10_0,-0.058867052
1,1,10_1,-0.09424628
1,1,11_0,0.02113551
1,1,11_1,0.044528525
1,1,12_0,0.07094189
1,1,12_1,0.054617442
1,1,13_0,0.06548431
1,1,13_1,0.103158906
1,1,14_0,-0.21649541
1,1,14_1,-0.056963615
2,0,0_0,-0.19662614
2,0,0_1,0.14401817
2,0,0_2,-0.10644663
2,0,0_3,-0.008134898
2,0,0_4,-0.03937751
2,0,0_5,-0.23305836
2,0,0_6,0.078322195
2,0,0_7,0.24371356
2,0,0_8,0.05386943
2,0,0_9,-0.11562647
2,0,0_10,-0.070830874
2,0,0_11,0.07661477
2,0,0_12,-0.093352936
2,0,0_13,-0.007135908
2,0,0_14,0.13001405
2,0,1_0,-0.172206
2,0,1_1,-0.13191034
2,0,1_2,0.22943808
2,0,1_3,-0.026085278
2,0,1_4,-0.14537239
2,0,1_5,0.08905153
2,0,1_6,-0.10580186
2,0,1_7,0.03563473
2,0,1_8,0.31505156
2,0,1_9,-0.21824716
2,0,1_10,0.09396339
2,0,1_11,0.19081993
2,0,1_12,-0.0153765185
2,0,1_13,0.24453418
2,0,1_14,-0.13852581
2,0,2_0,0.01272615
2,0,2_1,0.05820148
2,0,2_2,0.032077555
2,0,2_3,-0.22869565
2,0,2_4,0.15427962
2,0,2_5,0.11328152
2,0,2_6,0.0058162813
2,0,2_7,0.0073804623
2,0,2_8,-0.20447108
2,0,2_9,0.005985133
2,0,2_10,0.17280868
2,0,2_11,0.12168319
2,0,2_12,-0.14623952
2,0,2_13,-0.029379224
2,0,2_14,-0.04248937
2,0,3_0,-0.03556946
2,0,3_1,0.03033246
2,0,3_2,0.07171247
2,0,3_3,0.024454009
2,0,3_4,0.022077236
2,0,3_5,-0.063138686
2,0,3_6,-0.04706952
2,0,3_7,-0.062015414
2,0,3_8,-0.11605775
2,0,3_9,0.010867591
2,0,3_10,0.101744086
2,0,3_11,-0.06418964
2,0,3_12,0.03709683
2,0,3_13,-0.10612774
2,0,3_14,0.028971493
2,1,0_0,-0.08873676
2,1,0_1,-0.08823735
2,1,1_0,0.33089444
2,1,1_1,0.095873155
2,1,2_0,0.005366003
2,1,2_1,0.14315975
2,1,3_0,0.02124823
2,1,3_1,-0.05325486
2,1,4_0,-0.1107464
2,1,4_1,-0.15686692
2,1,5_0,-0.14962125
2,1,5_1,-0.009708775
2,1,6_0,0.047375638
2,1,6_1,-0.050393518
2,1,7_0,0.10528863
2,1,7_1,-0.054702353
2,1,8_0,0.09099557
2,1,8_1,0.1264669
2,1,9_0,-0.040105075
2,1,9_1,-0.055909626
2,1,10_0,-0.06892191
2,1,10_1,-0.07560599
2,1,11_0,0.024217445
2,1,11_1,0.071989425
2,1,12_0,0.05957946
2,1,12_1,0.046476614
2,1,13_0,0.05907766
2,1,13_1,0.12724362
2,1,14_0,-0.20122856
2,1,14_1,-0.075517304
3,0,0_0,-0.2187055
3,0,0_1,0.165036
3,0,0_2,-0.0984841
3,0,0_3,-0.008038954
3,0,0_4,-0.05627529
3,0,0_5,-0.2602112
3,0,0_6,0.09274389
3,0,0_7,0.26327583
3,0,0_8,0.07136501
3,0,0_9,-0.1359915
3,0,0_10,-0.08328984
3,0,0_11,0.0934445
3,0,0_12,-0.08114491
3,0,0_13,0.0069200452
3,0,0_14,0.10879545
3,0,1_0,-0.20571056
3,0,1_1,-0.11928758
3,0,1_2,0.26283306
3,0,1_3,-0.052162994
3,0,1_4,-0.17558289
3,0,1_5,0.08555753
3,0,1_6,-0.14798458
3,0,1_7,0.019175893
3,0,1_8,0.34700313
3,0,1_9,-0.25910893
3,0,1_10,0.07829622
3,0,1_11,0.23364791
3,0,1_12,-0.00064698956
3,0,1_13,0.2768708
3,0,1_14,-0.1584339
3,0,2_0,-0.0007992318
3,0,2_1,0.063821934
3,0,2_2,0.044868045
3,0,2_3,-0.2388806
3,0,2_4,0.14238222
3,0,2_5,0.11006756
3,0,2_6,-0.009840847
3,0,2_7,0.0024314122
3,0,2_8,-0.19192329
3,0,2_9,-0.010316848
3,0,2_10,0.16661835
3,0,2_11,0.13877071
3,0,2_12,-0.1405941
3,0,2_13,-0.016870243
3,0,2_14,-0.050792534
3,0,3_0,-0.030120788
3,0,3_1,0.024543684
3,0,3_2,0.0707607
3,0,3_3,0.023657063
3,0,3_4,0.02583986
3,0,3_5,-0.05572746
3,0,3_6,-0.05098854
3,0,3_7,-0.066179305
3,0,3_8,-0.12007064
3,0,3_9,0.015898492
3,0,3_10,0.10416765
3,0,3_11,-0.06750708
3,0,3_12,0.034071375
3,0,3_13,-0.10907277
3,0,3_14,0.034863785
3,1,0_0,-0.106342465
3,1,0_1,-0.11485744
3,1,1_0,0.33696887
3,1,1_1,0.0778418
3,1,2_0,5.3969386e-05
3,1,2_1,0.17337845
3,1,3_0,0.012241361
3,1,3_1,-0.06596409
3,1,4_0,-0.12072435
3,1,4_1,-0.18667834
3,1,5_0,-0.17349784
3,1,5_1,-0.0012839623
3,1,6_0,0.061094046
3,1,6_1,-0.08350429
3,1,7_0,0.1278347
3,1,7_1,-0.044754338
3,1,8_0,0.09681728
3,1,8_1,0.15439303
3,1,9_0,-0.045078244
3,1,9_1,-0.08354222
3,1,10_0,-0.07822989
3,1,10_1,-0.058590062
3,1,11_0,0.034573197
3,1,11_1,0.10433944
3,1,12_0,0.045173693
3,1,12_1,0.039352544
3,1,13_0,0.0565363
3,1,13_1,0.15496929
3,1,14_0,-0.18623184
3,1,14_1,-0.09613074
4,0,0_0,-0.23317891
4,0,0_1,0.1806763
4,0,0_2,-0.0980686
4,0,0_3,-0.005770463
4,0,0_4,-0.06594921
4,0,0_5,-0.2829902
4,0,0_6,0.11001707
4,0,0_7,0.28417367
4,0,0_8,0.081089705
4,0,0_9,-0.146916
4,0,0_10,-0.092112236
4,0,0_11,0.10124369
4,0,0_12,-0.07501491
4,0,0_13,0.013121627
4,0,0_14,0.09487657
4,0,1_0,-0.2355231
4,0,1_1,-0.114199646
4,0,1_2,0.29380587
4,0,1_3,-0.079204716
4,0,1_4,-0.20246357
4,0,1_5,0.0922357
4,0,1_6,-0.19195876
4,0,1_7,0.0037759133
4,0,1_8,0.37555295
4,0,1_9,-0.2972168
4,0,1_10,0.068931155
4,0,1_11,0.27280134
4,0,1_12,0.009905192
4,0,1_13,0.30636847
4,0,1_14,-0.17603275
4,0,2_0,-0.015403628
4,0,2_1,0.067270696
4,0,2_2,0.059794564
4,0,2_3,-0.25204146
4,0,2_4,0.12921381
4,0,2_5,0.11127319
4,0,2_6,-0.029882722
4,0,2_7,-0.004269649
4,0,2_8,-0.17800571
4,0,2_9,-0.028599635
4,0,2_10,0.16163343
4,0,2_11,0.15757008
4,0,2_12,-0.13520947
4,0,2_13,-0.00258998
4,0,2_14,-0.05972639
4,0,3_0,-0.025245763
4,0,3_1,0.022523707
4,0,3_2,0.067256816
4,0,3_3,0.026380228
4,0,3_4,0.02984666
4,0,3_5,-0.054181207
4,0,3_6,-0.04774172
4,0,3_7,-0.06631686
4,0,3_8,-0.124297574
4,0,3_9,0.021510085
4,0,3_10,0.10568433
4,0,3_11,-0.07273716
4,0,3_12,0.03226175
4,0,3_13,-0.113087
4,0,3_14,0.038152996
4,1,0_0,-0.114231825
4,1,0_1,-0.13812894
4,1,1_0,0.34959078
4,1,1_1,0.06260985
4,1,2_0,-0.012385539
4,1,2_1,0.2016046
4,1,3_0,0.012103979
4,1,3_1,-0.08229507
4,1,4_0,-0.120378554
4,1,4_1,-0.21379204
4,1,5_0,-0.19300064
4,1,5_1,0.008451311
4,1,6_0,0.08187376
4,1,6_1,-0.11890634
4,1,7_0,0.14483957
4,1,7_1,-0.04150564
4,1,8_0,0.09423596
4,1,8_1,0.17911889
4,1,9_0,-0.04542333
4,1,9_1,-0.109313704
4,1,10_0,-0.09112156
4,1,10_1,-0.045095243
4,1,11_0,0.034522712
4,1,11_1,0.13381283
4,1,12_0,0.034486465
4,1,12_1,0.039661884
4,1,13_0,0.049729906
4,1,13_1,0.18068269
4,1,14_0,-0.17284042
4,1,14_1,-0.117538355
5,0,0_0,-0.25178188
5,0,0_1,0.19988264
5,0,0_2,-0.09648538
5,0,0_3,-0.0056318557
5,0,0_4,-0.07870213
5,0,0_5,-0.31046554
5,0,0_6,0.1280086
5,0,0_7,0.30986264
5,0,0_8,0.093707204
5,0,0_9,-0.16117685
5,0,0_10,-0.104794025
5,0,0_11,0.11240691
5,0,0_12,-0.068686135
5,0,0_13,0.021552583
5,0,0_14,0.078753196
5,0,1_0,-0.26448247
5,0,1_1,-0.10991177
5,0,1_2,0.32248053
5,0,1_3,-0.10635485
5,0,1_4,-0.22825204
5,0,1_5,0.09895763
5,0,1_6,-0.23161598
5,0,1_7,-0.00810774
5,0,1_8,0.4028551
5,0,1_9,-0.33349195
5,0,1_10,0.062277153
5,0,1_11,0.30903968
5,0,1_12,0.020336058
5,0,1_13,0.33437094
5,0,1_14,-0.19599465
5,0,2_0,-0.023979025
5,0,2_1,0.06780669
5,0,2_2,0.06920584
5,0,2_3,-0.26123542
5,0,2_4,0.121306516
5,0,2_5,0.11450534
5,0,2_6,-0.043518506
5,0,2_7,-0.008916534
5,0,2_8,-0.1696334
5,0,2_9,-0.039865065
5,0,2_10,0.1598157
5,0,2_11,0.16904671
5,0,2_12,-0.13217528
5,0,2_13,0.0062652514
5,0,2_14,-0.06511903
5,0,3_0,-0.022581266
5,0,3_1,0.021397686
5,0,3_2,0.06529711
5,0,3_3,0.02806558
