iteration,train_error,test_error
0,0.6437953439727425,0.5991487915590405
1,0.5687891637114808,0.563059882234782
2,0.4827513315854594,0.5126875040717424
3,0.3766051683854312,0.45425338493846357
4,0.272988565703854,0.3795863775201142
5,0.18052070811390877,0.3147908892221749
6,0.118984504211694,0.25986467966064813
7,0.08319718130165711,0.22459342060796916
8,0.0646568098285934,0.19776649360731244
9,0.052634109038626774,0.17800732949003578
10,0.042763141540926884,0.16014611637638881
11,0.033810779957129854,0.14210926231369375
12,0.026014694218174553,0.12508122482709585
13,0.018980160294449887,0.10376458317134529
14,0.012895840319688432,0.08805391268804669
15,0.00867032018766622,0.07189642667677254
16,0.0056013439188245685,0.056411967771593484
17,0.003391206005398999,0.045808714259415864
18,0.0021296587839606217,0.03711223204992711
19,0.0013708589898487845,0.031188683886313812
20,0.0009591868953430094,0.028002361587714405
21,0.0007464608245209092,0.025967422979185358
22,0.0006265926422202028,0.024759315680712463
23,0.0005491784059267956,0.024098083542659878
24,0.0005152113226358779,0.023317222379148007
25,0.00047881766076898204,0.022623068679124118
26,0.0004500654566800222,0.02204023635201156
27,0.00043707861157599837,0.021555820988491178
28,0.0004073913846514188,0.020909104635939
29,0.0003783090089564212,0.020347927786409856
30,0.00035345225624041634,0.019541761204600334
31,0.00033296536712441594,0.019020274497568608
32,0.0003121882540290244,0.018497604232281445
33,0.0003020030970219523,0.017761353617534042
34,0.000271138907992281,0.017172290002927183
35,0.0002541498637583572,0.01652291855402291
36,0.00023733979847747832,0.015920273346826434
37,0.00022947506382479333,0.015383283977396786
38,0.00020160604894044808,0.014764191254042089
39,0.00019134932685119566,0.014221368451602757
40,0.00017482326642493718,0.013590956008061766
41,0.00016131647313159193,0.013142799140885472
42,0.00015380545672087466,0.01249501273687929
43,0.00013810418502544053,0.012005007250234484
44,0.00012345927279966418,0.011436292083933949
45,0.00011291115537460427,0.0109399896832183
46,0.00010298456727468875,0.01038317234069109
47,9.588416352926288e-05,0.009831048953346909
48,8.931776686949888e-05,0.009459616964682937
49,7.732031597697642e-05,0.008989748216234147
50,6.948429734620731e-05,0.008555029965937138
51,6.584051832760452e-05,0.008054819151759148
52,5.9729639961005884e-05,0.00760452667158097
53,5.1199698136770164e-05,0.007335025888867676
54,4.562696220091311e-05,0.006739975623786449
55,4.031227061204845e-05,0.006343125175219029
